C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;
4.5;-15.21;-9;-8.47;-2.52;-6.03;-4.48;-10.05;-12.82;-13.58;-11.19;-11.65;-10.44;-22.04;-31.71;55.71;53.43;-38.83;-44.21;-3.66;-79.52;76.93;
4.45;-15.72;-9.38;-8.49;-2.52;-6.14;-4.25;-10.07;-12.82;-13.6;-11.2;-11.64;-10.44;-22.07;-31.71;55.71;53.41;-38.88;-44.21;-3.64;-79.53;76.95;
4.32;-16.22;-9.9;-8.54;-2.52;-6.4;-4.14;-10.05;-12.81;-13.61;-11.2;-11.66;-10.43;-22.08;-31.73;55.69;53.41;-38.9;-44.21;-3.63;-79.54;76.97;
4.19;-16.76;-10.43;-8.55;-2.53;-6.83;-4.03;-10.08;-12.81;-13.61;-11.18;-11.66;-10.43;-22.07;-31.75;55.7;53.39;-38.92;-44.2;-3.61;-79.54;77;
4.05;-17.25;-10.83;-8.4;-2.55;-7.34;-3.94;-10.08;-12.79;-13.6;-11.18;-11.65;-10.43;-22.07;-31.73;55.69;53.38;-38.92;-44.21;-3.61;-79.53;76.99;
3.98;-17.69;-11.15;-8.04;-2.56;-7.82;-3.88;-10.07;-12.79;-13.6;-11.17;-11.64;-10.43;-22.07;-31.74;55.72;53.4;-38.92;-44.2;-3.61;-79.54;76.98;
3.91;-18.12;-11.25;-7.48;-2.57;-8.27;-3.77;-10.06;-12.78;-13.59;-11.16;-11.62;-10.46;-22.08;-31.73;55.72;53.38;-38.88;-44.21;-3.62;-79.52;76.96;
3.88;-18.58;-11.26;-6.81;-2.59;-8.65;-3.63;-10.05;-12.78;-13.59;-11.17;-11.6;-10.45;-22.1;-31.73;55.74;53.41;-38.87;-44.19;-3.64;-79.53;76.95;
3.8;-18.96;-11.12;-6.15;-2.58;-8.95;-3.46;-10.04;-12.76;-13.61;-11.17;-11.59;-10.45;-22.09;-31.71;55.75;53.42;-38.87;-44.2;-3.64;-79.54;76.94;
3.63;-19.29;-10.97;-5.54;-2.57;-9.21;-3.25;-10.05;-12.76;-13.6;-11.18;-11.61;-10.44;-22.1;-31.72;55.74;53.42;-38.87;-44.2;-3.64;-79.56;76.92;
3.38;-19.67;-10.82;-5.07;-2.58;-9.45;-3.14;-10.04;-12.76;-13.62;-11.19;-11.62;-10.43;-22.08;-31.7;55.73;53.4;-38.89;-44.21;-3.62;-79.55;76.96;
2.98;-20.03;-10.65;-4.78;-2.57;-9.69;-3.03;-10.05;-12.75;-13.63;-11.21;-11.64;-10.43;-22.09;-31.71;55.71;53.4;-38.9;-44.21;-3.6;-79.55;76.94;
2.54;-20.32;-10.51;-4.56;-2.59;-9.97;-3.07;-10.04;-12.79;-13.64;-11.21;-11.67;-10.44;-22.1;-31.7;55.7;53.4;-38.93;-44.22;-3.59;-79.57;76.95;
2.17;-20.7;-10.42;-4.36;-2.6;-10.3;-3.23;-10.05;-12.78;-13.64;-11.22;-11.66;-10.43;-22.11;-31.72;55.68;53.38;-38.93;-44.22;-3.59;-79.55;76.95;
1.85;-20.99;-10.42;-4.18;-2.62;-10.67;-3.42;-10.08;-12.8;-13.62;-11.21;-11.65;-10.45;-22.12;-31.71;55.69;53.39;-38.94;-44.23;-3.59;-79.55;76.95;
1.64;-21.15;-10.56;-3.88;-2.63;-11.08;-3.63;-10.09;-12.83;-13.64;-11.2;-11.64;-10.46;-22.12;-31.73;55.67;53.37;-38.92;-44.22;-3.6;-79.55;76.93;
1.45;-21.24;-10.8;-3.5;-3.04;-11.54;-3.74;-10.52;-13.21;-14.03;-11.57;-12.03;-10.87;-22.52;-32.13;55.29;52.98;-39.33;-44.63;-4.01;-79.95;76.52;
1.31;-21.23;-11.08;-3.03;-3.61;-12.01;-3.77;-11.08;-13.77;-14.56;-12.1;-12.57;-11.4;-23.03;-32.68;54.73;52.43;-39.88;-45.21;-4.56;-80.54;75.95;
1.16;-21.18;-11.37;-2.51;-3.73;-12.49;-3.77;-11.22;-13.89;-14.66;-12.23;-12.71;-11.5;-23.14;-32.78;54.63;52.33;-39.99;-45.34;-4.66;-80.7;75.82;
0.92;-21.05;-11.65;-2;-3.76;-12.95;-3.77;-11.3;-13.93;-14.69;-12.31;-12.77;-11.54;-23.16;-32.81;54.6;52.29;-40.01;-45.39;-4.72;-80.79;75.79;
0.63;-20.96;-11.85;-1.48;-3.71;-13.36;-3.77;-11.32;-13.92;-14.68;-12.34;-12.77;-11.53;-23.17;-32.82;54.6;52.26;-40.03;-45.43;-4.72;-80.82;75.75;
0.29;-20.87;-11.9;-1.04;-3.69;-13.73;-3.91;-11.3;-13.93;-14.69;-12.38;-12.78;-11.52;-23.19;-32.85;54.59;52.21;-40.08;-45.48;-4.75;-80.8;75.7;
-0.1;-20.82;-11.9;-0.61;-3.78;-14.11;-4.11;-11.39;-14.03;-14.79;-12.52;-12.9;-11.64;-23.3;-32.98;54.47;52.08;-40.22;-45.61;-4.93;-80.88;75.55;
-0.48;-20.79;-11.79;-0.26;-4.02;-14.41;-4.4;-11.63;-14.31;-15.06;-12.83;-13.16;-11.94;-23.59;-33.28;54.23;51.81;-40.49;-45.89;-5.3;-81.12;75.19;
-0.87;-20.78;-11.59;0.08;-4.43;-14.74;-4.73;-11.99;-14.7;-15.47;-13.23;-13.56;-12.36;-24.02;-33.74;53.89;51.41;-40.83;-46.29;-5.8;-81.51;74.72;
-1.18;-20.68;-11.34;0.42;-4.92;-15.14;-5.05;-12.42;-15.15;-15.93;-13.72;-14.04;-12.85;-24.54;-34.25;53.46;50.97;-41.26;-46.76;-6.35;-81.97;74.22;
-1.46;-20.56;-11.08;0.77;-5.4;-15.65;-5.33;-12.83;-15.59;-16.37;-14.2;-14.49;-13.33;-25.04;-34.74;52.99;50.49;-41.69;-47.24;-6.88;-82.45;73.74;
-1.71;-20.35;-10.82;1.17;-5.83;-16.19;-5.6;-13.21;-16;-16.79;-14.63;-14.89;-13.72;-25.49;-35.2;52.51;50.02;-42.16;-47.7;-7.31;-82.9;73.34;
-1.91;-20.06;-10.65;1.57;-6.19;-16.75;-5.86;-13.56;-16.32;-17.12;-14.97;-15.23;-14.06;-25.87;-35.57;52.07;49.56;-42.61;-48.15;-7.69;-83.32;72.99;
-2.19;-19.85;-10.53;1.99;-6.5;-17.27;-6.06;-13.87;-16.59;-17.4;-15.25;-15.49;-14.35;-26.16;-35.87;51.69;49.17;-43.03;-48.55;-8;-83.68;72.69;
-2.49;-19.61;-10.47;2.41;-6.76;-17.74;-6.19;-14.16;-16.84;-17.68;-15.55;-15.75;-14.62;-26.38;-36.13;51.34;48.85;-43.45;-48.88;-8.29;-84.05;72.41;
-2.86;-19.44;-10.52;2.89;-7;-18.18;-6.33;-14.47;-17.12;-17.99;-15.87;-16.02;-14.9;-26.61;-36.41;51.02;48.53;-43.84;-49.17;-8.59;-84.4;72.12;
-3.27;-19.35;-10.68;3.4;-7.24;-18.56;-6.47;-14.76;-17.42;-18.31;-16.19;-16.3;-15.21;-26.87;-36.66;50.69;48.24;-44.17;-49.46;-8.91;-84.76;71.81;
-3.65;-19.29;-10.92;3.91;-7.56;-18.93;-6.64;-15.14;-17.74;-18.67;-16.56;-16.61;-15.54;-27.17;-36.99;50.36;47.91;-44.51;-49.8;-9.26;-85.16;71.48;
-4.02;-19.1;-11.09;4.44;-7.89;-19.34;-6.88;-15.52;-18.14;-19.06;-16.95;-16.96;-15.87;-27.54;-37.33;50.02;47.56;-44.87;-50.14;-9.6;-85.56;71.13;
-4.28;-18.88;-11.22;4.97;-8.27;-19.8;-7.17;-15.92;-18.55;-19.47;-17.38;-17.31;-16.23;-27.89;-37.69;49.64;47.19;-45.28;-50.46;-9.95;-85.96;70.78;
-4.45;-18.56;-11.26;5.51;-8.68;-20.2;-7.54;-16.34;-19.02;-19.94;-17.81;-17.73;-16.61;-28.32;-38.1;49.23;46.77;-45.73;-50.86;-10.31;-86.35;70.37;
-4.63;-18.22;-11.09;5.98;-9.13;-20.71;-7.9;-16.78;-19.51;-20.41;-18.27;-18.16;-17.04;-28.74;-38.53;48.75;46.32;-46.21;-51.31;-10.66;-86.76;69.95;
-4.75;-17.95;-10.8;6.43;-9.57;-21.24;-8.32;-17.18;-19.94;-20.84;-18.63;-18.57;-17.42;-29.16;-38.9;48.28;45.87;-46.66;-51.73;-11;-87.09;69.59;
-4.92;-17.68;-10.45;6.87;-10.06;-21.82;-8.74;-17.61;-20.39;-21.2;-19;-18.98;-17.81;-29.55;-39.27;47.8;45.4;-47.13;-52.2;-11.27;-87.43;69.2;
-5.09;-17.44;-10.13;7.33;-10.54;-22.38;-9.15;-17.99;-20.78;-21.54;-19.37;-19.39;-18.22;-29.93;-39.58;47.34;44.95;-47.6;-52.62;-11.55;-87.76;68.85;
-5.24;-17.2;-9.81;7.85;-11;-22.88;-9.56;-18.34;-21.12;-21.81;-19.7;-19.72;-18.58;-30.24;-39.82;46.96;44.57;-48.03;-52.97;-11.73;-88.06;68.57;
-5.38;-16.92;-9.56;8.29;-11.41;-23.35;-9.99;-18.7;-21.44;-22.11;-20.07;-20.01;-18.92;-30.5;-40.08;46.6;44.21;-48.44;-53.3;-11.96;-88.35;68.31;
-5.49;-16.55;-9.28;8.71;-11.77;-23.81;-10.35;-19.08;-21.76;-22.39;-20.42;-20.31;-19.23;-30.78;-40.35;46.28;43.93;-48.82;-53.6;-12.22;-88.65;68.07;
-5.59;-16.2;-9.17;9.2;-12.07;-24.17;-10.65;-19.5;-22.13;-22.75;-20.84;-20.66;-19.57;-31.08;-40.68;45.97;43.6;-49.23;-53.92;-12.51;-88.97;67.76;
-5.69;-15.81;-9.09;9.61;-12.42;-24.39;-10.9;-19.95;-22.62;-23.19;-21.33;-21.06;-19.97;-31.49;-41.15;45.62;43.29;-49.62;-54.26;-12.91;-89.33;67.39;
-5.81;-15.46;-9.13;9.95;-12.87;-24.62;-11.13;-20.43;-23.11;-23.73;-21.85;-21.52;-20.46;-31.98;-41.72;45.18;42.88;-50.05;-54.66;-13.39;-89.71;66.93;
-5.91;-15.1;-9.19;10.36;-13.38;-24.9;-11.32;-20.94;-23.64;-24.3;-22.34;-22.04;-20.99;-32.54;-42.32;44.69;42.43;-50.61;-55.17;-13.88;-90.09;66.41;
-5.99;-14.74;-9.37;10.74;-13.94;-25.1;-11.47;-21.42;-24.19;-24.88;-22.79;-22.59;-21.61;-33.15;-42.95;44.15;41.87;-51.22;-55.72;-14.41;-90.48;65.84;
-6.08;-14.35;-9.64;11.06;-14.49;-25.36;-11.63;-21.87;-24.7;-25.4;-23.18;-23.14;-22.21;-33.7;-43.52;43.59;41.33;-51.85;-56.25;-14.88;-90.83;65.32;
-6.16;-13.97;-9.93;11.42;-14.97;-25.6;-11.74;-22.27;-25.15;-25.82;-23.51;-23.59;-22.73;-34.14;-43.97;43.08;40.81;-52.42;-56.7;-15.32;-91.13;64.85;
-6.23;-13.64;-10.13;11.66;-15.38;-25.72;-11.85;-22.67;-25.54;-26.14;-23.82;-23.98;-23.18;-34.48;-44.33;42.64;40.29;-52.91;-57.12;-15.73;-91.38;64.44;
-6.35;-13.3;-10.18;11.82;-15.74;-25.87;-12;-23.04;-25.85;-26.37;-24.11;-24.37;-23.53;-34.76;-44.59;42.24;39.8;-53.34;-57.5;-16.12;-91.67;64.04;
-6.47;-12.99;-10.12;11.95;-16.08;-25.93;-12.18;-23.4;-26.18;-26.61;-24.44;-24.75;-23.83;-35.04;-44.87;41.84;39.34;-53.79;-57.85;-16.51;-91.99;63.63;
-6.61;-12.65;-10.02;11.94;-16.42;-26.04;-12.33;-23.79;-26.54;-26.88;-24.81;-25.14;-24.12;-35.33;-45.21;41.47;38.86;-54.24;-58.22;-16.88;-92.34;63.24;
-6.7;-12.3;-9.88;11.91;-16.81;-26.08;-12.49;-24.13;-26.91;-27.25;-25.17;-25.59;-24.44;-35.68;-45.62;41.06;38.38;-54.65;-58.6;-17.24;-92.68;62.84;
-6.74;-11.96;-9.67;11.79;-17.26;-26.13;-12.64;-24.53;-27.3;-27.72;-25.62;-26.08;-24.79;-36.1;-46.05;40.63;37.86;-55.11;-59.07;-17.66;-93.07;62.38;
-6.75;-11.54;-9.48;11.74;-17.73;-26.09;-12.73;-24.93;-27.69;-28.26;-26.04;-26.51;-25.18;-36.55;-46.5;40.22;37.42;-55.59;-59.51;-18.05;-93.45;61.94;
-6.75;-11.11;-9.31;11.63;-18.24;-26.07;-12.79;-25.35;-28.1;-28.87;-26.43;-26.95;-25.6;-37.04;-46.96;39.76;36.96;-56.12;-59.99;-18.45;-93.82;61.47;
-6.79;-10.75;-9.32;11.53;-18.76;-26.02;-12.86;-25.77;-28.53;-29.51;-26.86;-27.38;-26.06;-37.51;-47.41;39.31;36.49;-56.74;-60.48;-18.87;-94.2;60.97;
-6.87;-10.48;-9.54;11.43;-19.3;-25.89;-12.91;-26.2;-29;-30.19;-27.31;-27.81;-26.54;-37.97;-47.88;38.77;35.99;-57.38;-61.04;-19.25;-94.53;60.47;
-6.98;-10.36;-9.88;11.41;-19.88;-25.74;-13.04;-26.58;-29.53;-30.79;-27.76;-28.23;-27.06;-38.39;-48.24;38.21;35.5;-57.99;-61.52;-19.62;-94.84;59.98;
-7.13;-10.35;-10.32;11.29;-20.4;-25.59;-13.17;-26.92;-30.01;-31.26;-28.13;-28.55;-27.52;-38.75;-48.58;37.67;35.03;-58.6;-61.96;-19.9;-95.16;59.55;
-7.25;-10.3;-10.83;11.19;-20.83;-25.39;-13.34;-27.27;-30.45;-31.63;-28.44;-28.84;-27.95;-39.13;-48.92;37.15;34.61;-59.21;-62.32;-20.14;-95.57;59.1;
-7.35;-10.3;-11.25;11.09;-21.18;-25.2;-13.52;-27.67;-30.87;-31.96;-28.76;-29.18;-28.44;-39.58;-49.31;36.58;34.12;-59.73;-62.6;-20.35;-95.9;58.67;
-7.39;-10.3;-11.61;10.89;-21.43;-25.03;-13.65;-28.02;-31.13;-32.23;-28.96;-29.47;-28.89;-40;-49.6;36.11;33.72;-60.13;-62.8;-20.53;-96.13;58.35;
-7.4;-10.22;-11.8;10.59;-21.56;-24.83;-13.78;-28.33;-31.27;-32.46;-29.06;-29.72;-29.31;-40.4;-49.94;35.71;33.33;-60.54;-63;-20.66;-96.39;58.04;
-7.42;-10.2;-11.88;10.29;-21.67;-24.61;-13.86;-28.61;-31.39;-32.73;-29.21;-29.98;-29.69;-40.85;-50.33;35.33;32.89;-60.9;-63.3;-20.88;-96.55;57.77;
-7.42;-10.08;-11.77;9.97;-21.87;-24.39;-13.92;-28.87;-31.5;-33.05;-29.43;-30.24;-30.07;-41.27;-50.69;35.03;32.52;-61.14;-63.64;-21.14;-96.67;57.46;
-7.4;-9.83;-11.55;9.62;-22.04;-24.15;-13.98;-29.07;-31.56;-33.33;-29.63;-30.4;-30.36;-41.53;-51.06;34.76;32.23;-61.4;-64.02;-21.34;-96.83;57.28;
-7.41;-9.59;-11.39;9.28;-22.21;-23.89;-13.99;-29.31;-31.71;-33.61;-29.9;-30.6;-30.66;-41.76;-51.38;34.44;31.92;-61.61;-64.42;-21.54;-96.94;57;
-7.42;-9.34;-11.21;8.95;-22.41;-23.62;-14.01;-29.56;-31.96;-33.85;-30.2;-30.81;-30.91;-41.83;-51.56;34.17;31.73;-61.71;-64.72;-21.74;-97.15;56.79;
-7.49;-9.07;-11.08;8.46;-22.51;-23.32;-14.03;-29.72;-32.26;-33.94;-30.46;-30.94;-31.01;-41.83;-51.62;33.97;31.62;-61.76;-64.95;-21.79;-97.37;56.63;
-7.59;-8.82;-11.04;7.96;-22.51;-22.96;-14.1;-29.84;-32.55;-34.05;-30.7;-31.09;-31.12;-41.86;-51.63;33.79;31.49;-61.71;-65.14;-21.82;-97.46;56.4;
-7.74;-8.59;-11.07;7.48;-22.44;-22.66;-14.16;-29.82;-32.79;-34.05;-30.83;-31.1;-31.08;-41.81;-51.53;33.81;31.51;-61.67;-65.18;-21.83;-97.58;56.27;
-7.85;-8.4;-11.16;6.99;-22.41;-22.38;-14.25;-29.82;-33.06;-34.09;-30.98;-31.08;-31.05;-41.84;-51.51;33.83;31.49;-61.63;-65.2;-21.84;-97.63;56.16;
-7.96;-8.33;-11.31;6.65;-22.31;-22.08;-14.33;-29.75;-33.19;-34.04;-30.95;-30.98;-30.95;-41.82;-51.42;33.92;31.6;-61.56;-65.08;-21.81;-97.64;56.16;
-8;-8.49;-11.56;6.35;-22.26;-21.83;-14.4;-29.73;-33.27;-34.03;-30.89;-30.87;-30.94;-41.76;-51.36;34;31.68;-61.49;-64.97;-21.68;-97.59;56.22;
-8.01;-8.71;-11.84;6.01;-22.28;-21.59;-14.45;-29.71;-33.19;-34.01;-30.74;-30.75;-30.93;-41.66;-51.25;34.13;31.8;-61.35;-64.78;-21.56;-97.58;56.4;
-8;-9.1;-12.15;5.64;-22.29;-21.29;-14.5;-29.71;-33.04;-34.03;-30.58;-30.64;-31.01;-41.66;-51.29;34.2;31.82;-61.25;-64.65;-21.41;-97.54;56.56;
-8.02;-9.48;-12.4;5.2;-22.3;-20.98;-14.54;-29.69;-32.85;-34.03;-30.46;-30.58;-31.18;-41.63;-51.29;34.38;31.89;-61.17;-64.54;-21.26;-97.46;56.72;
-8.02;-9.79;-12.49;4.69;-22.25;-20.57;-14.58;-29.6;-32.63;-33.96;-30.36;-30.5;-31.28;-41.57;-51.25;34.53;32.08;-60.98;-64.39;-21.06;-97.37;56.86;
-8.05;-10.03;-12.47;4.1;-22.2;-20.14;-14.58;-29.48;-32.48;-33.86;-30.3;-30.45;-31.27;-41.47;-51.11;34.78;32.37;-60.72;-64.24;-20.86;-97.33;57.03;
-8.07;-10.24;-12.37;3.7;-22.01;-19.75;-14.58;-29.32;-32.39;-33.72;-30.29;-30.43;-31.18;-41.44;-50.96;34.97;32.64;-60.41;-64.11;-20.57;-97.25;57.23;
-8.1;-10.27;-12.24;3.33;-21.78;-19.37;-14.54;-29.13;-32.3;-33.5;-30.26;-30.31;-30.88;-41.23;-50.72;35.19;32.98;-59.98;-63.89;-20.36;-97.06;57.45;
-8.14;-10.23;-12.06;2.99;-21.53;-19.01;-14.51;-29.01;-32.22;-33.29;-30.16;-30.16;-30.52;-40.97;-50.45;35.49;33.37;-59.55;-63.65;-20.08;-96.86;57.7;
-8.18;-10.13;-11.85;2.68;-21.21;-18.7;-14.44;-28.86;-32.14;-33.11;-30.1;-29.89;-30.1;-40.6;-50.13;35.82;33.75;-59.14;-63.39;-19.78;-96.63;58.05;
-8.25;-9.95;-11.62;2.35;-20.99;-18.41;-14.36;-28.65;-31.98;-32.9;-29.91;-29.68;-29.76;-40.16;-49.84;36.18;34.11;-58.69;-63.04;-19.53;-96.38;58.44;
-8.29;-9.87;-11.42;2.01;-20.67;-18.04;-14.36;-28.48;-31.81;-32.75;-29.69;-29.34;-29.57;-39.8;-49.6;36.54;34.38;-58.33;-62.61;-19.27;-96.16;58.8;
-8.33;-9.87;-11.25;1.69;-20.41;-17.7;-14.4;-28.3;-31.64;-32.57;-29.46;-28.99;-29.51;-39.51;-49.38;36.92;34.65;-58.01;-62.23;-19.02;-95.91;59.1;
-8.35;-9.85;-11.23;1.43;-20.25;-17.35;-14.5;-28.16;-31.53;-32.42;-29.27;-28.77;-29.45;-39.31;-49.19;37.29;34.88;-57.72;-61.98;-18.79;-95.62;59.24;
-8.33;-9.89;-11.28;1.25;-20.11;-17.02;-14.62;-27.95;-31.3;-32.19;-29.04;-28.51;-29.4;-39.14;-48.93;37.63;35.17;-57.41;-61.68;-18.56;-95.34;59.37;
-8.3;-9.97;-11.43;1.14;-19.9;-16.67;-14.74;-27.69;-31.07;-31.9;-28.86;-28.23;-29.16;-38.96;-48.68;37.91;35.54;-57.14;-61.35;-18.22;-94.96;59.55;
-8.28;-10.01;-11.68;1;-19.66;-16.29;-14.84;-27.36;-30.67;-31.59;-28.62;-27.99;-28.88;-38.78;-48.44;38.16;35.88;-56.84;-61.04;-17.81;-94.56;59.83;
-8.29;-10.19;-11.94;0.78;-19.34;-15.97;-14.94;-26.91;-30.18;-31.23;-28.29;-27.69;-28.46;-38.49;-48.12;38.49;36.3;-56.55;-60.61;-17.37;-94.22;60.06;
-8.3;-10.25;-12.12;0.55;-18.97;-15.63;-14.99;-26.48;-29.65;-30.9;-27.93;-27.33;-28.07;-38.17;-47.8;38.86;36.66;-56.26;-60.22;-17.03;-93.82;60.38;
-8.31;-10.38;-12.14;0.34;-18.6;-15.4;-15;-26.05;-29.26;-30.53;-27.52;-27.07;-27.76;-37.85;-47.52;39.24;37.06;-55.95;-59.84;-16.81;-93.38;60.7;
-8.32;-10.39;-11.96;0.11;-18.21;-15.25;-15.02;-25.62;-28.98;-30.24;-27.21;-26.78;-27.51;-37.47;-47.24;39.54;37.44;-55.68;-59.41;-16.62;-93.08;60.96;
-8.32;-10.39;-11.64;-0.06;-17.89;-15.2;-15.03;-25.3;-28.7;-29.97;-26.91;-26.55;-27.34;-37.14;-47.05;39.88;37.79;-55.36;-59.14;-16.49;-92.71;61.05;
-8.33;-10.29;-11.3;-0.24;-17.56;-15.25;-15.02;-24.94;-28.45;-29.76;-26.61;-26.26;-27.15;-36.79;-46.76;40.23;38.21;-54.96;-58.85;-16.29;-92.4;61.14;
-8.34;-10.24;-10.92;-0.38;-17.19;-15.3;-15.06;-24.64;-28.13;-29.55;-26.34;-25.97;-26.92;-36.49;-46.41;40.5;38.54;-54.79;-58.59;-16.01;-92.24;61.16;
-8.36;-10.14;-10.54;-0.42;-16.85;-15.34;-15.09;-24.42;-27.81;-29.27;-26.02;-25.63;-26.6;-36.21;-46.02;40.78;38.74;-54.61;-58.35;-15.74;-92.01;61.26;
-8.38;-10.05;-10.19;-0.42;-16.51;-15.28;-15.12;-24.21;-27.48;-28.94;-25.67;-25.31;-26.29;-35.86;-45.58;41.06;38.97;-54.41;-58.11;-15.56;-91.84;61.39;
-8.41;-9.88;-9.88;-0.37;-16.23;-15.21;-15.12;-24.06;-27.17;-28.52;-25.26;-24.87;-25.86;-35.53;-45.24;41.34;39.23;-54.11;-57.89;-15.42;-91.56;61.63;
-8.42;-9.8;-9.65;-0.18;-15.99;-15.09;-15.12;-23.83;-26.83;-28.13;-24.89;-24.5;-25.42;-35.14;-44.9;41.65;39.53;-53.75;-57.57;-15.28;-91.21;61.98;
